,Title,Link,Snippet
0,Processes meet big data: Connecting data science with process science,https://ieeexplore.ieee.org/abstract/document/7302592/,"… interplay between data science and process science and relates process mining to Big data 
… 1) We connect data science and process science by sketching the history of both disciplines…"
1,Data science: A new paradigm in the age of big-data science and analytics,https://www.worldscientific.com/doi/abs/10.1142/s1793005717400038,"… at how Data Science — with respect to Big-Data Science — is … and computer science help 
shape Big-Data Science's terrain. We will highlight how mathematics and computer science …"
2,Big data analytics: Computational intelligence techniques and application areas,https://pureportal.coventry.ac.uk/files/23233843/Binder2.pdf,"… Computational Intelligence techniques to Big Data analytics, and we present recent applications 
that utilize these techniques towards Big Data analytics … on Big Data analytics resulting …"
3,The challenge of big data and data science,https://www.annualreviews.org/content/journals/10.1146/annurev-polisci-090216-023229?crawler=true&mimetype=application/pdf,"… with the enormous increases in computing power and improvements in data science 
methods to change society in fundamental ways. Big data and data science are creating new …"
4,Big data systems meet machine learning challenges: towards big data science as a service,https://arxiv.org/pdf/1709.07493,"… Big Data Science as a commodity service for data scientists. In addition, we analyze and 
classify the state-of-the-art of big data analytics … The proliferation of Big Data and big computing …"
5,[BOOK][B] Big data computing,https://books.google.com/books?hl=en&lr=&id=mXr6AQAAQBAJ&oi=fnd&pg=PP1&dq=Data+Science+and+Big+Data+in+computation&ots=E3AtSAJHoo&sig=cTxbGCMmF2a9vWw4KaZerLbGLzc,"… the need for analytics skills in this era of Big Data. In recent years, they have introduced 
master of science degrees in Big Data analytics, data science, and business analytics. Some …"
6,Trends in big data analytics,https://eclass.upatras.gr/modules/document/file.php/MST183/LTheodorakopoulos-Diafaneies-2024/%CE%95%CE%A1%CE%95%CE%A5%CE%9D%CE%97%CE%A4%CE%99%CE%9A%CE%95%CE%A3%20%CE%95%CE%A1%CE%93%CE%91%CE%A3%CE%99%CE%95%CE%A3%20%CE%A0%CE%A1%CE%9F%CE%A3%20%CE%91%CE%9D%CE%91%CE%98%CE%95%CE%A3%CE%97%202024/PAPER%2014%3A%20Trends%20in%20big%20data%20analytics.pdf,"… of data analytics problems. We describe commonly used hardware platforms for executing 
analytics … We conclude with a brief discussion of the diverse applications of data analytics, …"
7,Big data analytics and big data science: a survey,https://www.tandfonline.com/doi/abs/10.1080/23270012.2016.1141332,"… In contrast, the other paper in this research sub-category presents a platform to manage 
the computational chemistry big data problem. Specifically, Álvarez-Moreno et al. (Citation2014) …"
8,[BOOK][B] Cognitive computing and big data analytics,https://thuvienso.hoasen.edu.vn/bitstream/handle/123456789/11652/Contents.pdf?sequence=1,"… ligence, cognitive science, and computer science have led to the development of cognitive 
computing. Finally, an overview is provided of the elements of a cognitive computing system. …"
9,"Situating ecology as a big-data science: current advances, challenges, and solutions",https://academic.oup.com/bioscience/article-pdf/68/8/563/25299852/biy068.pdf,"… and data-sharing platforms, flexible statistical models that can handle … data and sources of 
uncertainty, and cloud-computing delivery of high-velocity computing to large-volume analytics…"
10,"[HTML][HTML] Data science: connotation, methods, technologies, and development",https://www.sciencedirect.com/science/article/pii/S2666764921000035,"… of data science with management science, computer science, and … of data science for the 
development of science and … of data science, we introduce the definition of data science and …"
11,[PDF][PDF] Heterogeneous data and big data analytics,https://www.academia.edu/download/56056011/acis-3-1-3.pdf,"… Big Data analytics, deep learning, high performance computing (HPC), and heterogeneous 
computing … System administrators responsible for maintaining Big Data compute platforms …"
12,"[PDF][PDF] Big Data, Analytics, and Intelligence: An Editorial Perspective.",https://www.researchgate.net/profile/Zhaohao-Sun/publication/318110630_Big_Data_Analytics_and_Intelligence_An_Editorial_Perspective/links/5a715d71a6fdcc33daa9fe25/Big-Data-Analytics-and-Intelligence-An-Editorial-Perspective.pdf,"… approaches, and how those approaches pose new challenges that can drive research for 
mathematics and computer science involving big data, big data analytics, machine learning, …"
13,Spatial big data science,https://link.springer.com/content/pdf/10.1007/978-3-319-60195-3.pdf,"… spatial computing platform (also called Spatial big data or … data preprocessing and exploration, 
spatial big data science … to make predictions on the data. These algorithms have spatial …"
14,"[PDF][PDF] A survey on big data analytics: challenges, open research issues and tools",https://www.academia.edu/download/60603067/Paper_67-A_Survey_on_Big_Data_Analytics_Challenges20190915-34463-16wfp09.pdf,"… issues in big data analytics. The research issues pertaining to big data analysis are … of 
things (IoT), cloud computing, bio inspired computing, and quantum computing. However it is not …"
15,Intelligent services for big data science,https://upcommons.upc.edu/bitstream/handle/2117/128093/Intelligent%20services%20for%20Big%20Data%20science.pdf,"… As we move into an era of unprecedented volumes of data and computing power, the benefits 
are not for business alone. Data can help citizens access government, hold it accountable …"
16,Big data: A review,https://academics.uccs.edu/~ooluwada/courses/datamining/ExtraReading/Big_data_A_review.pdf,"… amounts of data to reveal hidden patterns and secret correlations named as big data analytics. 
… intensive open source computing platform and provides big data workflow management …"
