,Title,Link,Snippet
0,[PDF][PDF] Internet of things (Iot) and cloud computing for agriculture: An overview,https://www.researchgate.net/profile/D-Biradar/publication/342144510_INTERNET_OF_THINGS_IOT_AND_CLOUD_COMPUTING_FOR_AGRICULTURE_AN_OVERVIEW/links/5ee4548b92851ce9e7e04d87/INTERNET-OF-THINGS-IOT-AND-CLOUD-COMPUTING-FOR-AGRICULTURE-AN-OVERVIEW.pdf,"… After the World Wide Web (of the 1990s) and the mobile Internet (of the 2000s), we are … 
Internet revolution—the “Internet of Things” (IOT) which is also known as “Ubiquitous Computing. …"
1,An empirical study on system level aspects of Internet of Things (IoT),https://ieeexplore.ieee.org/iel7/6287639/8948470/09218916.pdf,"… , Fog, and Edge computing facilitate IoT with various … Computing in IoT with different edge 
computing architectures and existing status are deliberated. The widespread adoption of IoT in …"
2,The evolution of the Internet of Things (IoT): A computational text analysis,https://www.sciencedirect.com/science/article/pii/S0308596118303094,"There is increasing interest in the IoT, in both academia and industry. Extant studies have 
surveyed the topic of IoT using different approaches. This study takes a digital innovation view …"
3,Integration of cloud computing and internet of things: a survey,https://www.researchgate.net/profile/Antonio-Pescape/publication/283236612_Integration_of_Cloud_computing_and_Internet_of_Things_A_survey/links/5b6d510a92851ca650543e3a/Integration-of-Cloud-computing-and-Internet-of-Things-A-survey.pdf,"… Starting by analyzing the basics of both IoT and Cloud Computing, we discuss their … in 
this field, which we expect to play a leading role in the landscape of the Future Internet. …"
4,An energy-efficient model for fog computing in the internet of things (IoT),https://www.sciencedirect.com/science/article/pii/S2542660518300386,"… In this paper, we newly propose a tree-based fog computing (… of nodes can be reduced in 
the IoT. In the evaluation, we show … -efficient fog computing model to realize the green IoT. Two …"
5,A survey on the edge computing for the Internet of Things,https://ieeexplore.ieee.org/iel7/6287639/8274985/08123913.pdf,"… computing pose on IoT networks. • Based on thorough studies of both IoT and edge computing, 
we … ability for integrating IoT and edge computing as edge computingbased IoT. Then, we …"
6,"Internet of Things (IoT), mobile cloud, cloudlet, mobile IoT, IoT cloud, fog, mobile edge, and edge emerging computing paradigms: Disambiguation and research …",https://www.sciencedirect.com/science/article/pii/S1084804518303497,"… The paper also introduces technologies related to the IoT such as ubiquitous and pervasive 
computing, the Internet of Nano Things (IoNT), and the Internet of Underwater Things (IoUT). …"
7,Cloud of Things: Integrating Internet of Things and cloud computing and the issues involved,https://www.academia.edu/download/90736900/20140114_MohammadAazam_1413283942372.pdf,"… This paper discusses about the expanding IoT’s and their integration with cloud computing, 
for enhanced and more useful service provisioning to the user and efficient utilization of …"
8,A survey of trust computation models for service management in internet of things systems,https://people.cs.vt.edu/~irchen/ps/Guo-comcom16.pdf,"… In this paper we survey trust computation models for Internet of things (IoT) systems … 
computation techniques as applying to IoT systems. Finally, we identify gaps in IoT trust computation …"
9,Dynamic computation offloading in edge computing for internet of things,https://ieeexplore.ieee.org/abstract/document/8490645/,"… This paper studies the dynamic computation offloading problem in edge computing for IoT. 
An optimization model is formulated to address the research problem, where the objective is …"
10,Edge-computing-driven internet of things: A survey,https://huangjunqin.com/papers/KongCSUR2022Edge.pdf,"… computing on the development of IoT and point out why edge computing is more suitable for 
IoT than other computing … on the edge-computing-driven IoT (ECDriven-IoT) and summarize …"
11,"Integrated sensing, computation and communication in B5G cellular Internet of Things",https://arxiv.org/pdf/2009.07545,"… 2) We analyze the impacts of transmit and receive beamforming on the performance of 
sensing and computation for B5G cellular IoT. Specifically, we select the distortion of …"
12,"Internet of Things (IoT): A vision, architectural elements, and future directions",https://arxiv.org/pdf/1207.0203,"… centric vision for worldwide implementation of Internet of Things. The key enabling … IoT 
vision by expanding on the need for convergence of WSN, the Internet and distributed computing …"
13,Review of Internet of Things (IoT) in electric power and energy systems,https://ieeexplore.ieee.org/ielaam/6488907/8334665/8281479-aam.pdf,"… growth of IoT for EPESs. The advancements in computational intelligence capabilities 
can evolve an intelligent IoT system by emulating biological nervous systems with cognitive …"
14,Cloudthings: A common architecture for integrating the internet of things with cloud computing,https://ubicomp.oulu.fi/files/cscwd13.pdf,"… to integrate the Internet of Things (IoT) and Cloud Computing under the … Computing and 
the Internet of Things. We examine an IoT-enabled smart home scenario to analyze the IoT …"
15,"Integration of energy, computation and communication in 6G cellular internet of things",https://www.researchgate.net/profile/Qiao-Qi-2/publication/340071154_Integration_of_Energy_Computation_and_Communication_in_6G_Cellular_Internet_of_Things/links/5f782fdc92851c14bca9ed0e/Integration-of-Energy-Computation-and-Communication-in-6G-Cellular-Internet-of-Things.pdf,"… computation, the conventional way of transmit-then-compute is not suitable for massive data 
aggregation in 6G cellular IoT, … cellular IoT integrating ECC for minimizing the computation …"
16,Context aware computing for the internet of things: A survey,https://arxiv.org/pdf/1305.0982,"… based on the characteristics and demands of the IoT. The IoT does not revolutionise our 
lives or the field of computing. It is another step in the evolution of the Internet we already have. …"
17,Using mobile computing to provide a smart and secure Internet of Things (IoT) framework for medical applications,https://onlinelibrary.wiley.com/doi/pdf/10.1155/2022/8741357,"… computing offers IoT services via mobile wireless services, applications, and the m-healthcare 
system. M-health helps the Internet of Things by … and ease of use, IoT, mobile, and network …"
18,Edge computing for the internet of things,https://ieeexplore.ieee.org/iel7/65/8270616/08270624.pdf,"… However, to truly realize edge computing in IoT applications, there are still many challenges … 
storage and computing, how to make edge computing collaborate with cloud computing for …"
19,An efficient computation offloading architecture for the Internet of Things (IoT) devices,https://www.researchgate.net/profile/Raj-Shukla/publication/318578071_An_efficient_computation_offloading_architecture_for_the_Internet_of_Things_IoT_devices/links/5cb8e033a6fdcc1d499ef0cd/An-efficient-computation-offloading-architecture-for-the-Internet-of-Things-IoT-devices.pdf,"… of IoT cluster in the context of the proposed computation offloading architecture. An IoT cluster 
is defined as a set of heterogeneous IoT … The devices within an IoT cluster include both …"
20,Fog computing and the internet of things (IoT): a review,https://e-tarjome.com/storage/panel/fileuploads/2021-10-28/1635413747_E15756.pdf,"… It should be noted that fog computing does not replace cloud computing; rather… computing 
with the Internet of Things brings about various benefits: different applications powered with IoT…"
21,Integration of cloud computing with internet of things: challenges and open issues,https://eprints.soton.ac.uk/410989/1/Integration_of_Cloud_Computing_with_Internet_of_Things_Challenges_and_Open_Issues.pdf,"… integration of Cloud Computing into the IoT; this involves … computing, IoT, and Cloud-based 
IoT; Section III discusses the benefits of integrating the IoT into the Cloud; Could-based IoT …"
22,Overview-fog computing and internet-of-things (IOT),https://eudl.eu/pdf/10.4108/eai.20-12-2017.154378,"… volumes of data generated in real time by the IOT devices and could be of great value, if … 
as Fog Computing. In this Paper a comprehensive overview of the Fog Computing technology is …"
23,[HTML][HTML] Fog computing and the internet of things: A review,https://www.mdpi.com/2504-2289/2/2/10,"… This paper presents the state-of-the-art of fog computing and its integration with the IoT by 
highlighting the benefits and implementation challenges. This review will also focus on the …"
24,[HTML][HTML] Fog computing for internet of things (IoT)-aided smart grid architectures,https://www.mdpi.com/2504-2289/3/1/8,"… However, due to the current energy computing bandwidth limitations … Internet of Things 
(IoT), the future Internet is bringing SG machines, devices, and sensors connected to the internet […"
25,Deep convolutional computation model for feature learning on big data in internet of things,https://ieeexplore.ieee.org/abstract/document/8010374/,"… of big data in IoT, the paper proposes a deep convolutional computation model (DCCM) … 
computation model is proposed for hierarchical feature learning on big data in Internet of Things…"
26,Machine learning techniques for security of Internet of Things (IoT) and fog computing systems,https://ieeexplore.ieee.org/abstract/document/8514421/,"… and storage closer to the network edge, fog computing provides an … of IoT, its growth, fog 
computing, and Machine Learning (ML) techniques for securing IoT devices and fog computing …"
27,"Internet of things (IoT) security: Current status, challenges and prospective measures",http://www.aloul.net/Papers/faloul_icitst15.pdf,"… of IoT serves the function of data routing and transmission to different IoT hubs and devices 
over the Internet. … • Since the IoT devices have limited computation and memory capabilities, …"
28,"State-of-the-art, challenges, and open issues in the integration of Internet of things and cloud computing",https://www.sciencedirect.com/science/article/pii/S108480451600028X,"… Our approach does not focus on scenarios where the IoT and Cloud Computing are suitable 
… to offer a practical vision to integrate current components of Cloud Computing and the IoT. …"
29,Cloud computing for Internet of Things & sensing based applications,https://ieeexplore.ieee.org/abstract/document/6461705/,"… to storage big data, huge computation power to enable the real … describe how Internet of 
Things and Cloud computing can work … that the Cloud Computing model is a good fit for IOT[7] …"
30,Systems computing challenges in the internet of things,https://arxiv.org/pdf/1604.02980,"… impact of the Internet of Things (IoT) to be between $3.9 to $11 trillion dollars by 20251. IoT 
has the … The Internet was largely driven by information and ideas generated by people, but …"
31,Edge computing for the Internet of Things: A case study,https://research.aalto.fi/files/18374435/premsankar08289317.pdf,"… This paper advocates edge computing for emerging IoT … edge computing architectures 
and platforms, then describe key IoT application scenarios that benefit from edge computing. …"
32,[HTML][HTML] Internet of Things (IoT): A literature review,https://www.scirp.org/journal/paperinformation?paperid=56616,"… The Internet of Things is a technological revolution that represents the future of computing 
and communications, and its development depends on dynamic technical innovation in a …"
33,Intelligent cooperative edge computing in internet of things,https://ieeexplore.ieee.org/abstract/document/9060811/,"… edge (ICE) computing in IoT networks to achieve a complementary integration of AI and 
edge computing. The AI-related modules of edge computing are redesigned for distributing AI’s …"
